Item,Make,Model,Part Number,Qty,Notes
Wind Vane,InSpeed,E-VANE II ELECTRONIC WIND DIRECTION SENSOR,EV2,1,
Connector,TE Connectivity,"M12,MALE,STRAIGHT,A CODE,5P",T4111001051-000,1,
